Date,Value,Anomaly
19170101,26.4,-0.5
19180101,13,-13.9
19190101,31.3,4.4
19200101,20.6,-6.3
19210101,31.5,4.6
19220101,24.6,-2.3
19230101,30.7,3.8
19240101,23.5,-3.4
19250101,25.4,-1.5
19260101,25.4,-1.5
19270101,26.4,-0.5
19280101,27.4,0.5
19290101,24.2,-2.7
19300101,26.3,-0.6
19310101,30.1,3.2
19320101,38.1,11.2
19330101,36,9.1
19340101,31.6,4.7
19350101,28.3,1.4
19360101,21,-5.9
19370101,34.5,7.6
19380101,28.3,1.4
19390101,31.6,4.7
19400101,15,-11.9
19410101,28,1.1
19420101,26.6,-0.3
19430101,28,1.1
19440101,30.6,3.7
19450101,20.1,-6.8
19460101,29.5,2.6
19470101,32.9,6
19480101,19.2,-7.7
19490101,34.8,7.9
19500101,37.3,10.4
19510101,29.5,2.6
19520101,32.6,5.7
19530101,32.9,6
19540101,29.3,2.4
19550101,26.3,-0.6
19560101,25.2,-1.7
19570101,22.8,-4.1
19580101,26,-0.9
19590101,23.7,-3.2
19600101,30.3,3.4
19610101,22,-4.9
19620101,24.1,-2.8
19630101,19.2,-7.7
19640101,28.9,2
19650101,26.7,-0.2
19660101,22,-4.9
19670101,31.6,4.7
19680101,22.1,-4.8
19690101,25.1,-1.8
19700101,19.2,-7.7
19710101,22.7,-4.2
19720101,27.5,0.6
19730101,29.4,2.5
19740101,31.1,4.2
19750101,31,4.1
19760101,23.1,-3.8
19770101,11.1,-15.8
19780101,18,-8.9
19790101,20,-6.9
19800101,27,0.1
19810101,21,-5.9
19820101,19.8,-7.1
19830101,28.9,2
19840101,21.5,-5.4
19850101,21.2,-5.7
19860101,27.3,0.4
19870101,27.7,0.8
19880101,24.9,-2
19890101,34.8,7.9
19900101,36.2,9.3
19910101,28.2,1.3
19920101,29.7,2.8
19930101,32.2,5.3
19940101,19.6,-7.3
19950101,28.8,1.9
19960101,25.3,-1.6
19970101,25.9,-1
19980101,35.7,8.8
19990101,28.4,1.5
20000101,26.2,-0.7
20010101,27.5,0.6
20020101,34.1,7.2
20030101,21.5,-5.4
20040101,23.5,-3.4
20050101,29.4,2.5
20060101,38.8,11.9
20070101,33,6.1
20080101,29.1,2.2
20090101,20.8,-6.1
20100101,25,-1.9
20110101,23.5,-3.4
20120101,32.1,5.2
20130101,30.5,3.6
20140101,19.9,-7
20150101,24.4,-2.5
20160101,27.2,0.3
20170101,34.6,7.7
